"sc-gMacIw","sc-gMacIw 2","sc-gMacIw 3","sc-gMacIw 4","sc-gMacIw 5","sc-gMacIw 6"
"Chad","TCD","Percentage of students in lower secondary vocational education who are female (%)","UIS.FEP.2.V","5.899710178","2001"
"Chad","TCD","Percentage of students in lower secondary vocational education who are female (%)","UIS.FEP.2.V","8.270680428","2002"
"Chad","TCD","Percentage of students in lower secondary vocational education who are female (%)","UIS.FEP.2.V","12.28069973","2012"
"Chad","TCD","Percentage of students in lower secondary vocational education who are female (%)","UIS.FEP.2.V","16.621250153","2003"
"Chad","TCD","Percentage of students in lower secondary vocational education who are female (%)","UIS.FEP.2.V","4","1998"
"Chad","TCD","Percentage of students in upper secondary vocational education who are female (%)","UIS.FEP.3.V","35.541751862","2000"
"Chad","TCD","Percentage of students in upper secondary vocational education who are female (%)","UIS.FEP.3.V","35.307441711","2001"
"Chad","TCD","Percentage of students in upper secondary vocational education who are female (%)","UIS.FEP.3.V","43.943248749","2004"
"Chad","TCD","Percentage of students in upper secondary vocational education who are female (%)","UIS.FEP.3.V","35.111251831","2002"
"Chad","TCD","Percentage of students in upper secondary vocational education who are female (%)","UIS.FEP.3.V","44.130851746","2010"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","29.495759964","1996"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","26.282939911","1989"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","18.964420319","1977"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","29.389490128","1990"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","17.691879272","1975"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","21.381660461","1985"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","32.434738159","1997"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","54.308738708","2009"
"Chad","TCD","Gross enrolment ratio, primary and secondary, both sexes (%)","UIS.GER.123","45.174369812","2006"
"Chad","TCD","Gross graduation ratio from lower secondary education, male (%)","UIS.GGR.2.M","21.394449234","2011"
"Chad","TCD","Gross outbound enrolment ratio, all regions, both sexes (%)","UIS.GOER.56","0.34652999","2009"
"Chad","TCD","Gross outbound enrolment ratio, all regions, both sexes (%)","UIS.GOER.56","0.339020014","2000"
"Chad","TCD","School life expectancy, primary, male (years)","UIS.SLE.1.M","4.06016016","1993"
"Chad","TCD","School life expectancy, primary, male (years)","UIS.SLE.1.M","4.788589954","1998"
"Chad","TCD","School life expectancy, primary, male (years)","UIS.SLE.1.M","4.946109772","2007"
"Chad","TCD","School life expectancy, primary and secondary, both sexes (years)","UIS.SLE.123","3.626830101","1996"
"Chad","TCD","School life expectancy, primary and secondary, both sexes (years)","UIS.SLE.123","6.542109966","2010"
"Chad","TCD","School life expectancy, primary and secondary, both sexes (years)","UIS.SLE.123","3.95739007","1997"
